NR. CRT.,Indicativ drum,De la km,Pana la km,De la data,Pana la data,Intre localitatile,Cauza,Masuri de remediere,viz_name,map_zoom
1.1,A1,458+500,463+000,2024-04-11 07:00:00,2024-04-11 21:00:00,BALINT (TM) - BALINT (TM),"Eveniment rutier-Lucrari pe A1 km 458+500-463+000 Calea 2 Balint. Lucrari de frezat si asfaltat. Se circula pe banda doi, banda de urgenta si banda unu sunt restrictionate.",Se estimeaza reluarea in conditii normale a circulatiei in jurul orei 21:00.,A1,"['458', '500', '463', '0']"
1.2,A1,272+400,274+000,2024-04-11 07:59:00,2024-04-11 19:00:00,SALISTE (SB) - ACILIU (SB),"Se executa lucrari de reparatii la partea carosabila. Banda 1 si Banda de Urgenta restrictionate, calea 1 (sens Sibiu-Sebes)",Se circula ingreunat pe banda 2 a caii 1.,A1,"['272', '400', '274', '0']"
1.3,A1,116+400,117+400,2024-04-11 08:30:00,2024-04-11 16:00:00,PITESTI (AG) - PITESTI (AG),"Strangere nisip acumulat in zona mediana. Banda doi pe sensul  Pitesti-Bucuresti, este restrictionata pentru interventia utilajelor.",,A1,"['116', '400', '117', '400']"
1.4,A2,129+000,130+000,2024-04-11 09:00:00,2024-04-11 15:00:00,STEFAN CEL MARE (CL) - STEFAN CEL MARE (CL),Se monteaza panouri antiorbire,"A2, calea 1, km 129+000-130+000, banda 2 este inchisa. Traficul se desfasoara pe banda 1 cu limita de 60 km/h",A2,"['129', '0', '130', '0']"
1.5,DN11,62+600,62+700,2024-04-11 08:00:00,2024-04-11 10:59:00,LUNGA (CV) - LUNGA (CV),"Coliziune intre 5 autovehicule, carosabil uscat, vizibilitate buna.","Circulatia este intrerupta pe ambele sensuri, pentru ancheta Politiei la fata locului.",DN11,"['62', '600', '62', '700']"
1.6,DN11,18+900,18+900,2024-04-11 08:00:00,2024-04-11 17:00:00,LUNCA CALNICULUI (BV) - LUNCA CALNICULUI (BV),Se executa lucrari la portalul de intrare/iesire din judet,Trafic dirijat cu semafor,DN11,"['18', '900', '18', '900']"
1.7,DN22J,0+000,4+200,2024-04-11 07:00:00,2024-04-11 16:00:00,SMARDAN (TL) - SMARDAN (TL),Se executa lucrari de colmatare rosturi.,"Circulatie alternativa, semnalizare de pozitionare a lucrarilor (balize, conuri de dirijare + piloti de circulatie).",DN22J,"['0', '0', '4', '200']"
1.8,DN2S,4+500,6+800,2024-04-11 07:00:00,2024-04-11 19:00:00,SMARDAN (TL) - VADENI (BR),Lucrari de frezare si asternere imbracaminte bituminoasa.,"Trafic restrictionat banda 1 ,calea 2 , se va circula pe banda 2. Semnalizare cu balize directionale .",DN2S,"['4', '500', '6', '800']"
1.9,DN67B,79+800,89+000,2024-04-11 08:00:00,2024-04-11 16:00:00,TETOIU (VL) - GIULESTI (VL),Se lucreaza la taiere vegetatie pentru asigurare vizibilitate.,Circulatia se desfasoara pe 1/2 cale dirijata de piloti de circulatie.,DN67B,"['79', '800', '89', '0']"
1.1,DN7,218+800,228+000,2024-04-11 08:00:00,2024-04-11 18:00:00,TUTULESTI (VL) - CAINENII MARI (VL),Se executa reparatii asfaltice.,Circulatia se desfasoara pe 1/2 cale dirijata de piloti de circulatie.,DN7,"['218', '800', '228', '0']"
1.11,DN7,215+900,216+100,2024-04-11 09:00:00,2024-04-11 12:00:00,CALINESTI (VL) - ,Se executa lucrari de taiere a unui nuc periculos  pentru siguranta circulatiei.,Circulatie rutiera se inchide/deschide in reprize de max.20 minute dirijata de piloti de circulatie.,DN7,"['215', '900', '216', '100']"
1.12,DN7A,43+000,47+000,2024-04-11 08:00:00,2024-04-11 16:00:00,VOINEASA (VL) - VIDRA (VL),Se lucreaza la taierea arborilor  periculosi pentru siguranta circulatiei.,"Circulatia rutiera se inchide/deschide in reprize de max. 20 de minure , dirijata de piloti de circulatie .",DN7A,"['43', '0', '47', '0']"
1.13,DN7A,10+000,10+300,2024-04-11 08:00:00,2024-04-11 16:00:00,VALEA LUI STAN (VL) - ,Se lucreaza la montare/reparare parapet metalic.,Circulatia rutiera se desfasoara pe 1/2 din cale dirijata de piloti de circulatie.,DN7A,"['10', '0', '10', '300']"
