Unitate,Indicativ drum,Nr utilaje,Antiderapant (tone),Solutie Ecologica (litri),CaCl2 (TONE)
CNAIR Central,A1 ; A2 ; A3 ; A10 ; A4 ; A7 ; DN11 ; DN11A ; DN12A ; DN12B ; DN12D ; DN15 ; DN2 ; DN2F ; DN2G ; DN2T ; DN23 ; DN24 ; DN2D ; DN2L ; DN2M ; DN1B ; DEx12 ; DN1 ; DN14 ; DN14A ; DN14B ; DN7 ; DN7C ; DN7H ; DN1R ; DN67C ; DN75 ; DN10 ; DN11B ; DN11C ; DN12 ; DN13E ; DN15D ; DN24A ; DN24B ; DN24D ; DN26 ; DN12C ; DN15B ; DN15C ; DN15F ; DN15G ; DN17B ; DN13 ; DN13A ; DN13C ; DN15A ; DN15E ; DN16 ; DN17 ; DN17A ; DN29 ; DN29A ; DN2E ; DN2H ; DN2K ; DN2P ; DN18 ; DN21 ; DN21A ; DN22 ; DN22B ; DN22J ; DN2B ; DN22A ; DN22D ; DN22E ; DN22F ; DN22H ; DN25 ; DN25A ; DN26A ; VO_TEC ; DN28 ; DN28D ; DN24C ; DN28B ; DN29B ; DN29C ; DN29D ; DN29E ; DN29F ; DN54 ; DN54A ; DN55 ; DN55A ; DN56 ; DN56A ; DN56D ; DN6 ; DN65 ; DN65C ; DN65F ; DN65F_VOS ; D,226,338.6,960.0,0.0
DRDP Bucuresti,A1 ; A2 ; A3 ; DN71 ; DN72A ; DN73 ; DN73E ; DN7C,12,16.5,0.0,0.0
SDN Targoviste,DN71 ; DN72A,5,3.5,0.0,0.0
SDN Pitesti,DN73 ; DN73E ; DN7C,4,6.5,0.0,0.0
Sectia Autostrazi | DRDP Bucuresti,A1 ; A2 ; A3,3,6.5,0.0,0.0
DRDP Craiova,DEx12 ; DN54 ; DN54A ; DN55 ; DN55A ; DN56 ; DN56A ; DN56D ; DN6 ; DN65 ; DN65C ; DN65F ; DN65F_VOS,21,6.5,0.0,0.0
SDN Craiova,DN54 ; DN54A ; DN55 ; DN55A ; DN56 ; DN56A ; DN56D ; DN6 ; DN65 ; DN65C ; DN65F ; DN65F_VOS,10,0.5,0.0,0.0
SDN Slatina,DN54 ; DN54A ; DN65,4,IN PATRULARE,,
Sectia Intretinere Autostrazi Craiova,DEx12,7,6.0,0.0,0.0
DRDP Timisoara,DN66 ; DN7A ; DN67D ; DN68,4,9.0,0.0,0.0
SDN Caransebes,DN67D ; DN68,2,2.0,0.0,0.0
SDN Deva,DN66 ; DN7A,2,7.0,0.0,0.0
DRDP Cluj,A10 ; DN1 ; DN1R ; DN67C ; DN7 ; DN75,5,15.0,0.0,0.0
SDN Alba,DN1 ; DN1R ; DN67C ; DN7 ; DN75,4,12.0,0.0,0.0
Sectia Autostrazi | DRDP Cluj,A10,1,3.0,0.0,0.0
DRDP Brasov,DN1 ; DN14 ; DN14A ; DN14B ; DN7 ; DN7C ; DN7H ; DN10 ; DN11 ; DN11B ; DN11C ; DN12 ; DN13E ; DN2D ; DN13 ; DN13A ; DN13C ; DN15 ; DN15A ; DN15E ; DN16,42,51.0,0.0,0.0
SDN Sibiu,DN1 ; DN14 ; DN14A ; DN14B ; DN7 ; DN7C ; DN7H,8,14.0,0.0,0.0
SDN Targu Mures,DN13 ; DN13A ; DN13C ; DN14 ; DN14A ; DN15 ; DN15A ; DN15E ; DN16,19,12.0,0.0,0.0
SDN Miercurea-Ciuc,DN12,2,2.0,0.0,0.0
SDN Sfantu Gheorghe,DN10 ; DN11 ; DN11B ; DN11C ; DN12 ; DN13E ; DN2D,13,23.0,0.0,0.0
DRDP Iasi,A7 ; DN11 ; DN11A ; DN12A ; DN12B ; DN12D ; DN15 ; DN2 ; DN2F ; DN2G ; DN2T ; DN15D ; DN24 ; DN24A ; DN24B ; DN24D ; DN26 ; DN12C ; DN15B ; DN15C ; DN15F ; DN15G ; DN17B ; DN17 ; DN17A ; DN29 ; DN29A ; DN2E ; DN2H ; DN2K ; DN2P ; DN18 ; DN28 ; DN28D ; DN24C ; DN28B ; DN29B ; DN29C ; DN29D ; DN29E ; DN29F,99,177.1,0.0,0.0
