NR. CRT.,Indicativ drum,De la km,Pana la km,De la data,Pana la data,Intre localitatile,Cauza,Masuri de remediere,viz_name,map_zoom
1.1,A1,469+000,472+000,2023-09-14 10:30:00,2023-09-22 12:00:00,TOPOLOVATU MARE (TM) - BALINT (TM),"Eveniment rutier: Lucrari de reparatii la partea carosabila, frezare si asternere mixtura asfaltica pe A1, Topolovatu Mare - Balint, banda de urgenta si banda 1 sunt restrictionate, se circula pe banda 2. (Calea 2).","Evenimentul se va incheia in data de 22.09.2023, ora 12:00.",A1,"['469', '0', '472', '0']"
1.2,A1,458+000,461+000,2023-09-14 10:30:00,2023-09-22 12:00:00,TOPOLOVATU MARE (TM) - BALINT (TM),"Eveniment rutier: Lucrari de reparatii la partea carosabila, frezare si asternere mixtura asfaltica pe A1, calea 2 Topolovatul Mare - Balint, banda de urgenta si banda 1 sunt restrictionate, se circula pe banda 2. (Calea 2).","Evenimentul se va incheia in data de 22.09.2023, ora 12:00.",A1,"['458', '0', '461', '0']"
1.3,A1,283+000,285+000,2023-09-21 09:06:00,2023-09-22 18:00:00,MIERCUREA SIBIULUI (SB) - APOLDU DE JOS (SB),Se executa lucrari de reparatii la partea carosabila. Banda 1 si Banda de urgenta de pe Calea 2 (sens Sebes-Sibiu) sunt restrictionate.,Se circula ingreunat pe banda 2 de pe calea 2.,A1,"['283', '0', '285', '0']"
1.4,A1,95+700,97+500,2023-09-22 08:00:00,2023-09-22 18:00:00, - ,Lucrari reparatii la partea carosabila. Banda 1 calea 1 (Bucuresti-Pitesti) blocata.,,A1,"['95', '700', '97', '500']"
1.5,A1,310+500,311+500,2023-09-22 08:00:00,2023-09-22 16:00:00,SEBES (AB) - SEBES (AB),"Eveniment rutier-Lucrari pe A1 km 310+500-311+500 calea 2 Sebes Lucrari  Inlocuire parapet median,banda doi restrictionata,se circula pe banda unu si banda de urgenta, evenimentul incepe la ora 08:00 si se va incheia la ora 16:00",,A1,"['310', '500', '311', '500']"
1.6,A2,11+700,15+500,2023-09-20 22:00:00,2023-09-24 05:00:00,BUCURESTI (B) - CERNICA (IF),"In perioada 20 - 24.09.2023, se executa lucrari la pasajul care supratraverseaza Autostrada A2 Bucuresti - Constanta in zona kilometrului 13+330 metri, care impun oprirea traficului pe tronsonul kilometric 11+700 metri - 15+500 metri. Restrictia se va aplica in intervalul orar 22:00 - 05:00.Ruta ocolitoare pentru calea 1 (sens Bucuresti - Constanta): bulevardul Theodor Pallady  A2, nod rutier kilometrul 12  Centura Bucuresti (DNCB)  DN 3  Fundulea  A2, Constanta.Ruta ocolitoare pentru calea 2 (sens Constanta  Bucuresti): A2 - nod rutier kilometrul 15  DJ 301  Cernica - Centura Bucuresti (DNCB).",,A2,"['11', '700', '15', '500']"
1.7,DN1,55+653,55+653,2023-09-12 08:00:00,2023-09-22 20:00:00, - ,Pasaj CF pe DN 1 la km 55+653. Lucrari de inlocuire a dispozitivelor de acoperire a rosturilor de dilatatie.,"In perioada 12.09.2023 - 22.09.2023 se va restrictiona traficul pe banda 1 sens Bucuresti-Brasov si banda 1 sens Brasov-Bucuresti, circulatia desfasurandu-se pe banda 2 al fiecarui sens, pentru lucrarile de inlocuire a dispozitivelor de acoperire a rosturilor de dilatatie executate de S.C. FREYROM S.A.",DN1,"['55', '653', '55', '653']"
1.8,DN1,140+600,140+900,2023-09-18 13:00:00,2023-09-30 17:59:00,PREDEAL (BV) - PREDEAL (BV),Se executa lucrari de inlocuire a elementelor de acoperire a rosturilor de dilatatie la pasaj.,"Circulatia se desfasoara alternativ pe 1/2 de cale, dirijata cu semafoare .",DN1,"['140', '600', '140', '900']"
1.9,DN1E,17+000,21+000,2023-09-23 09:00:00,2023-09-24 18:59:00,POIANA BRASOV (BV) - RASNOV (BV),"Se va desfasura Campionatul National de Viteza in Coasta, trofeul Valea Cetatii Rasnov cu restrictionarea  circulatiei rutiere , astfel:Sambata 23 septembrie 2023 DN 1E km 17+000 - 21+000 in intervalul orar 9,00 - 19,00.Duminica 24 septembrie 2023DN 1E km 17+000 - 21+000 in intervalul orar 9,00 - 18,30","Inchiderea sectorului de drum se va face de catre personalul Serviciului Rutier din cadrul IPJ Brasov, asistati de catre reprezentantii Asociatiei Club Sportiv Auto Blic.Caruta ocolitoare , se recomanda : DN1E km 0+000 - 17+000 Brasov - Poiana Brasov.",DN1E,"['17', '0', '21', '0']"
1.1,DN21,105+300,105+800,2023-09-18 18:00:00,2023-09-30 23:59:00,SLOBOZIA (IL) - CALARASI (CL),Lucrari de remediere la dispozitivele de acoperire a rosturilor de dilatatie,"Incepand cu ora 18:00, se vor institui restrictii de circulatie pe pasajul denivelat superior pe DN21 (km 105+500), Pasajul Drajna, astfel:Inchiderea sensului de deplasare Slobozia  Calarasi, pe sectorul cuprins intre km 105+300 si km 105+800, traficul desfasurandu-se deviat, in ambele directii, pe benzile destinate sensului Calarasi  Slobozia. Dupa finalizarea lucrarilor de remediere pe acest sens de circulatie se va trece la devierea traficului pe celalalt sens, in aceleasi conditii.",DN21,"['105', '300', '105', '800']"
