NR. CRT.,Tip raportare,Data actualizarii,Localitate,Temperatura
9.1,"Automată, Stație meteo ANM",2025-12-24 08:15:21,BUCURESTI FILARET (B),3°C
9.2,"Automată, Stație meteo ANM",2025-12-24 08:15:20,BUCURESTI BANEASA (B),3°C
9.3,"Automată, Stație meteo ANM",2025-12-24 08:15:04,ALBA IULIA (AB),-1°C
9.4,"Automată, Stație meteo ANM",2025-12-24 08:15:31,CURTEA DE ARGES (AG),2°C
9.5,"Automată, Stație meteo ANM",2025-12-24 08:15:34,DEDULESTI-MORARESTI (AG),1°C
9.6,"Automată, Stație meteo ANM",2025-12-24 08:15:58,PITESTI (AG),3°C
9.7,"Automată, Stație meteo ANM",2025-12-24 08:15:22,CAMPULUNG MUSCEL (AG),0°C
9.8,"Automată, Stație meteo ANM",2025-12-24 08:15:25,CHISINEU CRIS (AR),0°C
9.9,"Automată, Stație meteo ANM",2025-12-24 08:15:06,ARAD (AR),2°C
9.1,"Automată, Stație meteo ANM",2025-12-24 08:15:06,BACAU (BC),1°C
9.11,"Automată, Stație meteo ANM",2025-12-24 08:16:11,TARGU OCNA (BC),1°C
9.12,"Automată, Stație meteo ANM",2025-12-24 08:15:54,ORADEA (BH),2°C
9.13,"Automată, Stație meteo ANM",2025-12-24 08:15:13,BISTRITA (BN),4°C
9.14,"Automată, Stație meteo ANM",2025-12-24 08:15:17,BRAILA (BR),4°C
9.15,"Automată, Stație meteo ANM",2025-12-24 08:15:33,DARABANI (BT),-1°C
9.16,"Automată, Stație meteo ANM",2025-12-24 08:16:07,STEFANESTI STANCA (BT),0°C
9.17,"Automată, Stație meteo ANM",2025-12-24 08:15:15,BOTOSANI (BT),0°C
9.18,"Manuală, personal C.N.A.I.R.",2025-12-24 04:18:14,BRASOV (BV),-2°C
9.19,"Automată, Stație meteo ANM",2025-12-24 08:15:18,BRASOV GHIMBAV (BV),-2°C
9.2,"Automată, Stație meteo ANM",2025-12-24 08:15:41,FUNDATA (BV),-3°C
9.21,"Automată, Stație meteo ANM",2025-12-24 08:16:00,PREDEAL (BV),-2°C
9.22,"Automată, Stație meteo ANM",2025-12-24 08:16:00,RAMNICU SARAT (BZ),2°C
9.23,"Automată, Stație meteo ANM",2025-12-24 08:15:21,BUZAU (BZ),2°C
9.24,"Automată, Stație meteo ANM",2025-12-24 08:15:55,PATARLAGELE (BZ),3°C
9.25,"Automată, Stație meteo ANM",2025-12-24 08:15:27,CLUJ-NAPOCA (CJ),-1°C
9.26,"Manuală, personal C.N.A.I.R.",2025-12-24 05:54:48,DRAJNA NOUA (CL),3°C
9.27,"Automată, Stație meteo ANM",2025-12-24 08:15:22,CALARASI (CL),4°C
9.28,"Manuală, personal C.N.A.I.R.",2025-12-24 05:54:49,DRAGOS VODA (CL),4°C
9.29,"Automată, Stație meteo ANM",2025-12-24 08:15:53,OLTENITA (CL),4°C
9.3,"Manuală, personal C.N.A.I.R.",2025-12-24 05:54:44,STEFAN VODA (CL),4°C
9.31,"Automată, Stație meteo ANM",2025-12-24 08:16:01,RESITA (CS),2°C
9.32,"Automată, Stație meteo ANM",2025-12-24 08:15:16,BOZOVICI (CS),4°C
9.33,"Automată, Stație meteo ANM",2025-12-24 08:15:08,BAILE HERCULANE (CS),4°C
9.34,"Automată, Stație meteo ANM",2025-12-24 08:15:24,CARANSEBES (CS),6°C
9.35,"Automată, Stație meteo ANM",2025-12-24 08:15:51,MOLDOVA VECHE (CS),6°C
9.36,"Automată, Stație meteo ANM",2025-12-24 08:15:54,ORAVITA (CS),6°C
9.37,"Automată, Stație meteo ANM",2025-12-24 08:15:01,ADAMCLISI (CT),4°C
9.38,"Automată, Stație meteo ANM",2025-12-24 08:15:25,CERNAVODA (CT),5°C
9.39,"Manuală, personal C.N.A.I.R.",2025-12-24 05:54:49,DUNAREA (CT),4°C
9.4,"Automată, Stație meteo ANM",2025-12-24 08:15:44,HARSOVA (CT),5°C
9.41,"Automată, Stație meteo ANM",2025-12-24 08:15:48,MANGALIA (CT),5°C
9.42,"Automată, Stație meteo ANM",2025-12-24 08:15:49,MEDGIDIA (CT),6°C
9.43,"Manuală, personal C.N.A.I.R.",2025-12-24 05:54:45,TARIVERDE (CT),4°C
9.44,"Manuală, personal C.N.A.I.R.",2025-12-24 05:54:46,MIRCEA VODA (CT),4°C
9.45,"Manuală, personal C.N.A.I.R.",2025-12-24 05:54:46,PESTERA (CT),5°C
9.46,"Automată, Stație meteo ANM",2025-12-24 08:16:18,AMZACEA (CT),5°C
9.47,"Manuală, personal C.N.A.I.R.",2025-12-24 05:54:45,VALEA DACILOR (CT),4°C
9.48,"Automată, Stație meteo ANM",2025-12-24 08:15:28,CONSTANTA (CT),8°C
9.49,"Automată, Stație meteo ANM",2025-12-24 08:16:05,SFANTU GHEORGHE (MUNTE) (CV),0°C
9.5,"Manuală, personal C.N.A.I.R.",2025-12-24 04:19:30,SFANTU GHEORGHE (CV),-1°C
9.51,"Automată, Stație meteo ANM",2025-12-24 08:15:47,INTORSURA BUZAULUI (CV),1°C
9.52,"Automată, Stație meteo ANM",2025-12-24 08:16:11,TARGU SECUIESC (CV),1°C
9.53,"Automată, Stație meteo ANM",2025-12-24 08:16:08,TARGOVISTE (DB),3°C
9.54,"Automată, Stație meteo ANM",2025-12-24 08:16:14,TITU (DB),3°C
9.55,"Automată, Stație meteo ANM",2025-12-24 08:15:30,CRAIOVA (DJ),3°C
9.56,"Automată, Stație meteo ANM",2025-12-24 08:15:22,CALAFAT (DJ),3°C
9.57,"Automată, Stație meteo ANM",2025-12-24 08:15:12,BECHET (DJ),4°C
9.58,"Automată, Stație meteo ANM",2025-12-24 08:16:09,TARGU JIU (GJ),4°C
9.59,"Automată, Stație meteo ANM",2025-12-24 08:16:17,RANCA (GJ),-4°C
9.6,"Automată, Stație meteo ANM",2025-12-24 08:16:10,TARGU LOGRESTI (GJ),3°C
9.61,"Automată, Stație meteo ANM",2025-12-24 08:15:59,POLOVRAGI (GJ),2°C
9.62,"Automată, Stație meteo ANM",2025-12-24 08:15:42,GALATI (GL),2°C
9.63,"Automată, Stație meteo ANM",2025-12-24 08:16:12,TECUCI (GL),1°C
9.64,"Automată, Stație meteo ANM",2025-12-24 08:15:43,GIURGIU (GR),4°C
9.65,"Automată, Stație meteo ANM",2025-12-24 08:15:35,DEVA (HD),1°C
9.66,"Automată, Stație meteo ANM",2025-12-24 08:15:56,PETROSANI (HD),1°C
9.67,"Automată, Stație meteo ANM",2025-12-24 08:15:50,MIERCUREA CIUC (HR),-1°C
9.68,"Automată, Stație meteo ANM",2025-12-24 08:15:53,ODORHEIUL SECUIESC (HR),-1°C
9.69,"Automată, Stație meteo ANM",2025-12-24 08:15:19,BUCIN (HR),-4°C
9.7,"Automată, Stație meteo ANM",2025-12-24 08:15:20,BUCURESTI AFUMATI (IF),3°C
9.71,"Automată, Stație meteo ANM",2025-12-24 08:16:06,SLOBOZIA (IL),4°C
9.72,"Automată, Stație meteo ANM",2025-12-24 08:16:16,URZICENI (IL),3°C
9.73,"Automată, Stație meteo ANM",2025-12-24 08:15:38,FETESTI (IL),5°C
9.74,"Automată, Stație meteo ANM",2025-12-24 08:15:45,IASI (IS),1°C
9.75,"Automată, Stație meteo ANM",2025-12-24 08:15:29,COTNARI (IS),-1°C
9.76,"Manuală, personal C.N.A.I.R.",2025-12-24 03:51:10,ORSOVA (MH),2°C
9.77,"Automată, Stație meteo ANM",2025-12-24 08:15:37,DROBETA TURNU SEVERIN (MH),3°C
9.78,"Automată, Stație meteo ANM",2025-12-24 08:15:07,BAIA MARE (MM),2°C
9.79,"Manuală, personal C.N.A.I.R.",2025-12-24 04:03:57,UNGHENI (MS),-1°C
9.8,"Automată, Stație meteo ANM",2025-12-24 08:16:11,TARGU MURES (MS),0°C
9.81,"Automată, Stație meteo ANM",2025-12-24 08:16:11,TARGU NEAMT (NT),-1°C
9.82,"Automată, Stație meteo ANM",2025-12-24 08:15:57,PIATRA NEAMT (NT),0°C
9.83,"Automată, Stație meteo ANM",2025-12-24 08:16:01,ROMAN (NT),1°C
9.84,"Automată, Stație meteo ANM",2025-12-24 08:15:23,CARACAL (OT),4°C
9.85,"Automată, Stație meteo ANM",2025-12-24 08:16:06,SLATINA (OT),3°C
9.86,"Automată, Stație meteo ANM",2025-12-24 08:15:22,CAMPINA (PH),2°C
9.87,"Automată, Stație meteo ANM",2025-12-24 08:15:59,PLOIESTI (PH),4°C
9.88,"Automată, Stație meteo ANM",2025-12-24 08:16:05,SIBIU (SB),-1°C
9.89,"Manuală, personal C.N.A.I.R.",2025-12-24 04:03:56,SALISTE (SB),-1°C
9.9,"Automată, Stație meteo ANM",2025-12-24 08:15:14,BOITA (SB),-2°C
9.91,"Automată, Stație meteo ANM",2025-12-24 08:15:09,BALEA LAC (SB),-6°C
9.92,"Automată, Stație meteo ANM",2025-12-24 08:16:16,ZALAU (SJ),2°C
9.93,"Automată, Stație meteo ANM",2025-12-24 08:16:04,SATU MARE (SM),3°C
9.94,"Automată, Stație meteo ANM",2025-12-24 08:16:08,SUCEAVA (SV),-1°C
9.95,"Automată, Stație meteo ANM",2025-12-24 08:16:00,RADAUTI (SV),-1°C
9.96,"Automată, Stație meteo ANM",2025-12-24 08:15:59,POIANA STAMPEI (SV),-2°C
9.97,"Automată, Stație meteo ANM",2025-12-24 08:16:15,TULCEA (TL),4°C
9.98,"Automată, Stație meteo ANM",2025-12-24 08:16:03,SANNICOLAU MARE (TM),1°C
9.99,"Automată, Stație meteo ANM",2025-12-24 08:15:47,JIMBOLIA (TM),3°C
9.1,"Automată, Stație meteo ANM",2025-12-24 08:15:48,LUGOJ (TM),3°C
9.101,"Automată, Stație meteo ANM",2025-12-24 08:16:14,TIMISOARA (TM),3°C
9.102,"Automată, Stație meteo ANM",2025-12-24 08:16:02,ROSIORII DE VEDE (TR),4°C
9.103,"Automată, Stație meteo ANM",2025-12-24 08:15:05,ALEXANDRIA (TR),4°C
9.104,"Automată, Stație meteo ANM",2025-12-24 08:16:15,TURNU MAGURELE (TR),4°C
9.105,"Automată, Stație meteo ANM",2025-12-24 08:16:16,ZIMNICEA (TR),3°C
9.106,"Automată, Stație meteo ANM",2025-12-24 08:15:36,DRAGASANI (VL),3°C
9.107,"Automată, Stație meteo ANM",2025-12-24 08:16:01,RAMNICU VALCEA (VL),4°C
9.108,"Automată, Stație meteo ANM",2025-12-24 08:15:52,OBARSIA LOTRULUI (VL),-3°C
9.109,"Automată, Stație meteo ANM",2025-12-24 08:16:16,VOINEASA (VL),-1°C
9.11,"Automată, Stație meteo ANM",2025-12-24 08:15:40,FOCSANI (VN),2°C
9.111,"Automată, Stație meteo ANM",2025-12-24 08:15:03,ADJUD (VN),1°C
9.112,"Automată, Stație meteo ANM",2025-12-24 08:15:51,NEGRESTI (VASLUI) (VS),1°C
9.113,"Automată, Stație meteo ANM",2025-12-24 08:15:11,BARLAD (VS),0°C
9.114,"Automată, Stație meteo ANM",2025-12-24 08:16:16,VASLUI (VS),1°C
