judet,uat,echipa_interventie,fond_cinegetic_alungare,data_interventie,longitudine_alungare,latitudine_alungare,numar_raport_alungare,identificare_relocare,fond_cinegetic_relocare,data_relocare,longitudine_relocare,latitudine_relocare,numar_raport_relocare,identificare_eutanasiere,fond_cinegetic_eutanasiere,longitudine_eutanasiere,latitudine_eutanasiere,nr._raport_interventie_eutanasiere,identificare_impuscare,fond_cinegetic_impuscare,longitudine_impuscare,latitudine_impuscare,nr._raport_interventie_impuscare,sex_urs,descriere_eveniment,metoda_interventie,adaugat_de
,VOŞLĂBENI,"Personal  AVPS Gheorgheni, Viceprimar Voslobeni,  Medic veterinar",VOSLOBENI 14,,25.684,46.628,90,,,,,,,,,,,,,,,,,Femela cu pui,Indepartarea unei femele de urs cu 2 pui din apropierea caselor,Alungat,Szabo Szilard
,VOŞLĂBENI,"Personal  AVPS Gheorgheni, Viceprimar Voslobeni,  Medic veterinar",VOSLOBENI 14,,25.691,46.624,89,,,,,,,,,,,,,,,,,Femela cu pui,Alungarea unei femele de urs cu 3 pui din curtea din intravilan,Alungat,Szabo Szilard
,CÂRŢA,"Personal  AVPS Nimrod, Viceprimar Carta,  Personalul Jandarmeria Harghita",CARTA 16,,25.76825,46.54014,7883,,,,,,,,,,,,,,,,,Mascul,Ursula fos inchis accidental in sura in satul Ineu de catre proprietar. A fos eliberat si gonit din localitate prin inerventia Jandarmeriei si personalului de specialitate a gestionarului.,Alungat,Szabo Szilard
Caraș-Severin,BRAŞOV,"Viceprimar Mun.Brasov, reprezentant IJJ Brasov, reprezentant Garda Forestiera Brasov, Medic veterinar",TIMIS 18,,25.576883,45.643093,,"crotalii nespecifice, marcate de reprez comisiei cu nr :BV 001, BV 002,BV 003,BV 004",HIGEG 20,05-10-2021,22.30378,45.12203,107149,,,,,,,,,,,Femela cu pui,"In urma apelurilor repetate la 112, echipa de interventie a indepartat si alungat prin diverse mijloace exemplarul de urs femela cu pui, aceasta devenind agresiva si lansand atacuri false. Prin urmare, s-a procedat la capturarea, tranchilizarea si relocarea acesteia.",Relocat,Mirela Moisa
,COMARNIC,"Primar, reprezentanti UM 0756, paznici vanat. AVPS Campina",COMARNIC 24,,547800.0,416750.0,11427/24.09.2021,,,,,,,,,,,,,,,,,,"Interventie pe o strada unde anterior fusese ranita o persoana, evaluat nivel de risc mare, efectuat scotociri si alungare",Alungat,Crina Popa
,COMARNIC,"Primar, reprez. UM 0756, paznici vanat. AVPS Campina",COMARNIC 24,,547800.0,416750.0,,,,,,,,,,,,,,,,,,Femela cu pui,"Ursoaica cu 2 pui prezenta pe strada in intravilan, a fost indepartata in fondul forestier",Alungat,Crina Popa
,COMARNIC,"Primar, reprez. UM 0756, paznici vanat. AVPS Campina",COMARNIC 24,,547800.0,416750.0,,,,,,,,,,,,,,,,,,,Au fost luate masuri de cautare si indepartare a animalului,Alungat,Crina Popa
,COMARNIC,"Primar, reprez. UM 0756, paznici vanat. AVPS Campina",COMARNIC 24,,547800.0,416750.0,,,,,,,,,,,,,,,,,,,Au fost luate masuri de cautare si indepartare a animalului,Alungat,Crina Popa
,COMARNIC,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,547800.0,416750.0,11725/01.10.2021,,,,,,,,,,,,,,,,,,Alungare prin metode sonore si cu fascicule luminoase,Alungat,Crina Popa
,IZVOARELE,"reprezentant UAT, reprez. UM 0756, paznic vanat. AJVPS Prahova",CAZACU 34,,577189.9,420412.9,1921/03.10.2021,,,,,,,,,,,,,,,,,Femela cu pui,"Alungare prin diverse mijloace, s-a desfasurat actiune de patrulare",Alungat,Crina Popa
