id,administrator,tip_retea,data_anunt,data_inceput,data_sfarsit,id_z_tip_retele,id_v_ar_artere,artera,nr_postal,localizare,data_anuntx,type,geometry_type,Lat,Long
v_hip_avarii.fid--36a69b30_192673f9569_242,Administraţia Străzilor -  ,Reţea stradală,07.10.2024,07.10.2024,09.10.2024,8,2287,Şoseaua Chitilei,,x str. Salajeni,2024-10-06T21:00:00Z,Feature,Point,44.487033328903514,26.01847529790253
v_hip_avarii.fid--36a69b30_192673f9569_243,Administraţia Străzilor -  ,Reţea stradală,07.10.2024,07.10.2024,09.10.2024,8,2287,Şoseaua Chitilei,,x str. Hotin,2024-10-06T21:00:00Z,Feature,Point,44.48682911046831,26.019052733388943
v_hip_avarii.fid--36a69b30_192673f9569_244,Administraţia Străzilor -  ,Reţea stradală,07.10.2024,07.10.2024,09.10.2024,8,1701,Şoseaua Pantelimon,15,,2024-10-06T21:00:00Z,Feature,Point,44.44745508662775,26.133215712355838
v_hip_avarii.fid--36a69b30_192673f9569_245,Administraţia Străzilor -  ,Reţea stradală,07.10.2024,07.10.2024,09.10.2024,8,1701,Şoseaua Pantelimon,14,,2024-10-06T21:00:00Z,Feature,Point,44.44681156076876,26.133729032595134
v_hip_avarii.fid--36a69b30_192673f9569_246,Administraţia Străzilor -  ,Reţea stradală,08.10.2024,08.10.2024,10.10.2024,8,98,Calea Dorobanţilor,,x str. Hatmanul Arbore statie STB,2024-10-07T21:00:00Z,Feature,Point,44.45376950068361,26.09836772143183
v_hip_avarii.fid--36a69b30_192673f9569_247,Administraţia Străzilor -  ,Reţea stradală,08.10.2024,08.10.2024,10.10.2024,8,98,Calea Dorobanţilor,105 statie STB,,2024-10-07T21:00:00Z,Feature,Point,44.45394016697196,26.098071541955274
v_hip_avarii.fid--36a69b30_192673f9569_248,Administraţia Străzilor -  ,Reţea stradală,08.10.2024,08.10.2024,10.10.2024,8,2287,Şoseaua Chitilei,,x str. Ariei,2024-10-07T21:00:00Z,Feature,Point,44.48590126558607,26.020825015701167
v_hip_avarii.fid--36a69b30_192673f9569_249,Administraţia Străzilor -  ,Reţea stradală,08.10.2024,08.10.2024,10.10.2024,8,1701,Şoseaua Pantelimon,23-27,,2024-10-07T21:00:00Z,Feature,Point,44.44683785128236,26.13405378280358
v_hip_avarii.fid--36a69b30_192673f9569_24a,Administraţia Străzilor -  ,Reţea stradală,08.10.2024,08.10.2024,10.10.2024,8,2287,Şoseaua Chitilei,,x bd. Laminorului,2024-10-07T21:00:00Z,Feature,Point,44.48545472425257,26.02294070564871
v_hip_avarii.fid--36a69b30_192673f9569_24b,Distrigaz Sud - Sectoarele 1 si 2 -  ,Gaze,06.10.2024,06.10.2024,08.10.2024,3,1784,Strada Vasile Gherghel,67,,2024-10-05T21:00:00Z,Feature,Point,44.46183519793241,26.067415470528175
v_hip_avarii.fid--36a69b30_192673f9569_24c,Distrigaz Sud - Sectoarele 1 si 2 -  ,Gaze,06.10.2024,06.10.2024,08.10.2024,3,1651,Strada Libelulei,30,,2024-10-05T21:00:00Z,Feature,Point,44.51595043993202,26.020154607567207
v_hip_avarii.fid--36a69b30_192673f9569_24d,Distrigaz Sud - Sectoarele 1 si 2 -  ,Gaze,07.10.2024,07.10.2024,09.10.2024,3,381,Strada Dej,45,,2024-10-06T21:00:00Z,Feature,Point,44.469640198073996,26.048211888105577
v_hip_avarii.fid--36a69b30_192673f9569_24e,Distrigaz Sud - Sectoarele 1 si 2 -  ,Gaze,07.10.2024,07.10.2024,09.10.2024,3,381,Strada Dej,49,,2024-10-06T21:00:00Z,Feature,Point,44.469721892397956,26.048422939707375
v_hip_avarii.fid--36a69b30_192673f9569_24f,Distrigaz Sud - Sectoarele 1 si 2 -  ,Gaze,07.10.2024,07.10.2024,09.10.2024,3,4280,Strada Găliceni,38-40,,2024-10-06T21:00:00Z,Feature,Point,44.494689852879944,26.025339653004934
v_hip_avarii.fid--36a69b30_192673f9569_250,Distrigaz Sud - Sectoarele 1 si 2 -  ,Gaze,06.10.2024,06.10.2024,08.10.2024,3,4679,Aleea Scroviştea,68-72,,2024-10-05T21:00:00Z,Feature,Point,44.49426234185927,26.051520150118773
v_hip_avarii.fid--36a69b30_192673f9569_251,Distrigaz Sud - Sectoarele 1 si 2 -  ,Gaze,06.10.2024,06.10.2024,08.10.2024,3,1688,Strada Feroviarilor,20,,2024-10-05T21:00:00Z,Feature,Point,44.46521278397285,26.056714699151737
v_hip_avarii.fid--36a69b30_192673f9569_252,Distrigaz Sud - Sectoarele 1 si 2 -  ,Gaze,07.10.2024,07.10.2024,09.10.2024,3,2862,Strada Varniţa,14,,2024-10-06T21:00:00Z,Feature,Point,44.45941603060217,26.05158444477335
v_hip_avarii.fid--36a69b30_192673f9569_253,Distrigaz Sud - Sectoarele 1 si 2 -  ,Gaze,07.10.2024,07.10.2024,09.10.2024,3,3486,Strada Telia,22-24,,2024-10-06T21:00:00Z,Feature,Point,44.44972791569174,26.15214413100634
