Tip transport,Funcțional,Observații,Data actualizării
Covor Rulant,NU,-,28.03.2026
Telecabina Capra Neagra,DA,ATENTIE ZAPADA PROASPAT NINSA SI CEATA!!,28.03.2026
Telecabina Kanzel,NU,-,28.03.2026
Telegondola,DA,ATENTIE ZAPADA PROASPAT NINSA SI CEATA!!,28.03.2026
Telescaun Lupului,NU,-,28.03.2026
Telescaun Ruia,DA,ATENTIE ZAPADA PROASPAT NINSA SI CEATA!!,28.03.2026
Teleschi Bradul,DA,-,28.03.2026
Teleschi Kanzel,NU,-,28.03.2026
Teleschi Ruia,NU,-,28.03.2026
Teleschi Stadion,NU,-,28.03.2026
Teleschi Subteleferic,NU,-,28.03.2026
