Instalatie,Stare,Program
Capra Neagră Telecabină,Oprit,09:00 - 16:00.  In ziua de 01 ianuarie 2024 programul este 10:00-16:00
Teleski Bradul,PORNIT,"09:00 - 16:00. In 01 ianuarie 2024, programul este 10:00 - 16:00"
Telescaun Ruia,PORNIT,"09:00 - 15:45. In 01 ianuarie 2024, programul este 10:00 - 15:45"
Telescaun Lupului,PORNIT,oprit
Stadion Teleski,OPRIT,"09:00 - 16:00. in 01 ianuarie 2024, programul este 10:00 - 16:00."
Subteleferic Teleski,oprit,oprit
Ruia Teleski,oprit,09:00 - 15:45
Kanzel Teleski,oprit,oprit
Postăvarul Expres Telegondolă,PORNIT,"09:00 - 16:00. in 01 ianuarie 2024, programul este 10:00 - 16:00."
Kanzel Telecabină,Oprit,"09:00 - 16:00. In 01 ianuarie 2024, programul este 10:00 - 16:00"
Telecabină Tâmpa,Pornit.,"9:30 - 16:30. Ultima urcare cu turisti: 16:00. Ultima coborare cu turisti 16:30. Luni - INCHIS. In 01 ianuarie 2024, programul este 10:30-16:30"
